timestamp,filename,url,downloaded,failedattempts
20190820 07:52,./data_raw//Activities/nz_Activities_y0_m0_p0.csv,http://www.odata.charities.govt.nz/Activities?$returnall=true&$format=csv,True,0
20190820 07:52,./data_raw//AreaOfOperations/nz_AreaOfOperations_y0_m0_p0.csv,http://www.odata.charities.govt.nz/AreaOfOperations?$returnall=true&$format=csv,True,0
20190820 07:52,./data_raw//Beneficiaries/nz_Beneficiaries_y0_m0_p0.csv,http://www.odata.charities.govt.nz/Beneficiaries?$returnall=true&$format=csv,True,0
20190820 07:52,./data_raw//Groups/nz_Groups_y0_m0_p0.csv,http://www.odata.charities.govt.nz/Groups?$returnall=true&$format=csv,True,0
20190820 07:52,./data_raw//Sectors/nz_Sectors_y0_m0_p0.csv,http://www.odata.charities.govt.nz/Sectors?$returnall=true&$format=csv,True,0
20190820 07:52,./data_raw//SourceOfFunds/nz_SourceOfFunds_y0_m0_p0.csv,http://www.odata.charities.govt.nz/SourceOfFunds?$returnall=true&$format=csv,True,0
20190820 07:53,./data_raw//Organisations/nz_Organisations_y0_m0_p0.csv,http://www.odata.charities.govt.nz/Organisations?$returnall=true&$format=csv,True,0
20190820 07:55,./data_raw//vOrganisations/nz_vOrganisations_y0_m0_p0.csv,http://www.odata.charities.govt.nz/vOrganisations?$returnall=true&$format=csv,True,0
20190820 07:57,./data_raw//Officers/nz_Officers_y0_m0_p0.csv,http://www.odata.charities.govt.nz/Officers?$returnall=true&$format=csv,True,0
20190820 07:58,./data_raw//vOfficerOrganisations/nz_vOfficerOrganisations_y2008_m1_p0.csv,http://www.odata.charities.govt.nz/vOfficerOrganisations?$returnall=true&$format=csv&$filter=year(DateRegistered) eq 2008 and endofyearmonth eq 1,True,0
20190820 07:58,./data_raw//vOfficerOrganisations/nz_vOfficerOrganisations_y2008_m2_p0.csv,http://www.odata.charities.govt.nz/vOfficerOrganisations?$returnall=true&$format=csv&$filter=year(DateRegistered) eq 2008 and endofyearmonth eq 2,True,0
20190820 08:07,./data_raw//vOfficerOrganisations/nz_vOfficerOrganisations_y2008_m3_p0.csv,http://www.odata.charities.govt.nz/vOfficerOrganisations?$returnall=true&$format=csv&$filter=year(DateRegistered) eq 2008 and endofyearmonth eq 3,True,1
20190820 08:07,./data_raw//vOfficerOrganisations/nz_vOfficerOrganisations_y2008_m4_p0.csv,http://www.odata.charities.govt.nz/vOfficerOrganisations?$returnall=true&$format=csv&$filter=year(DateRegistered) eq 2008 and endofyearmonth eq 4,True,0
20190820 08:08,./data_raw//vOfficerOrganisations/nz_vOfficerOrganisations_y2008_m5_p0.csv,http://www.odata.charities.govt.nz/vOfficerOrganisations?$returnall=true&$format=csv&$filter=year(DateRegistered) eq 2008 and endofyearmonth eq 5,True,0
20190820 08:17,./data_raw//vOfficerOrganisations/nz_vOfficerOrganisations_y2008_m6_p0.csv,http://www.odata.charities.govt.nz/vOfficerOrganisations?$returnall=true&$format=csv&$filter=year(DateRegistered) eq 2008 and endofyearmonth eq 6,True,1
20190820 08:17,./data_raw//vOfficerOrganisations/nz_vOfficerOrganisations_y2008_m7_p0.csv,http://www.odata.charities.govt.nz/vOfficerOrganisations?$returnall=true&$format=csv&$filter=year(DateRegistered) eq 2008 and endofyearmonth eq 7,True,0
20190820 08:18,./data_raw//vOfficerOrganisations/nz_vOfficerOrganisations_y2008_m8_p0.csv,http://www.odata.charities.govt.nz/vOfficerOrganisations?$returnall=true&$format=csv&$filter=year(DateRegistered) eq 2008 and endofyearmonth eq 8,True,0
20190820 08:18,./data_raw//vOfficerOrganisations/nz_vOfficerOrganisations_y2008_m9_p0.csv,http://www.odata.charities.govt.nz/vOfficerOrganisations?$returnall=true&$format=csv&$filter=year(DateRegistered) eq 2008 and endofyearmonth eq 9,True,0
20190820 08:18,./data_raw//vOfficerOrganisations/nz_vOfficerOrganisations_y2008_m10_p0.csv,http://www.odata.charities.govt.nz/vOfficerOrganisations?$returnall=true&$format=csv&$filter=year(DateRegistered) eq 2008 and endofyearmonth eq 10,True,0
20190820 08:18,./data_raw//vOfficerOrganisations/nz_vOfficerOrganisations_y2008_m11_p0.csv,http://www.odata.charities.govt.nz/vOfficerOrganisations?$returnall=true&$format=csv&$filter=year(DateRegistered) eq 2008 and endofyearmonth eq 11,True,0
20190820 08:21,./data_raw//vOfficerOrganisations/nz_vOfficerOrganisations_y2008_m12_p0.csv,http://www.odata.charities.govt.nz/vOfficerOrganisations?$returnall=true&$format=csv&$filter=year(DateRegistered) eq 2008 and endofyearmonth eq 12,True,0
20190820 08:22,./data_raw//vOfficerOrganisations/nz_vOfficerOrganisations_y2007_m0_p0.csv,http://www.odata.charities.govt.nz/vOfficerOrganisations?$returnall=true&$format=csv&$filter=year(DateRegistered) eq 2007,True,0
20190820 08:23,./data_raw//vOfficerOrganisations/nz_vOfficerOrganisations_y2009_m0_p0.csv,http://www.odata.charities.govt.nz/vOfficerOrganisations?$returnall=true&$format=csv&$filter=year(DateRegistered) eq 2009,True,0
20190820 08:25,./data_raw//vOfficerOrganisations/nz_vOfficerOrganisations_y2010_m0_p0.csv,http://www.odata.charities.govt.nz/vOfficerOrganisations?$returnall=true&$format=csv&$filter=year(DateRegistered) eq 2010,True,0
20190820 08:25,./data_raw//vOfficerOrganisations/nz_vOfficerOrganisations_y2011_m0_p0.csv,http://www.odata.charities.govt.nz/vOfficerOrganisations?$returnall=true&$format=csv&$filter=year(DateRegistered) eq 2011,True,0
20190820 08:26,./data_raw//vOfficerOrganisations/nz_vOfficerOrganisations_y2012_m0_p0.csv,http://www.odata.charities.govt.nz/vOfficerOrganisations?$returnall=true&$format=csv&$filter=year(DateRegistered) eq 2012,True,0
20190820 08:26,./data_raw//vOfficerOrganisations/nz_vOfficerOrganisations_y2013_m0_p0.csv,http://www.odata.charities.govt.nz/vOfficerOrganisations?$returnall=true&$format=csv&$filter=year(DateRegistered) eq 2013,True,0
20190820 08:27,./data_raw//vOfficerOrganisations/nz_vOfficerOrganisations_y2014_m0_p0.csv,http://www.odata.charities.govt.nz/vOfficerOrganisations?$returnall=true&$format=csv&$filter=year(DateRegistered) eq 2014,True,0
20190820 08:28,./data_raw//vOfficerOrganisations/nz_vOfficerOrganisations_y2015_m0_p0.csv,http://www.odata.charities.govt.nz/vOfficerOrganisations?$returnall=true&$format=csv&$filter=year(DateRegistered) eq 2015,True,0
20190820 08:28,./data_raw//vOfficerOrganisations/nz_vOfficerOrganisations_y2016_m0_p0.csv,http://www.odata.charities.govt.nz/vOfficerOrganisations?$returnall=true&$format=csv&$filter=year(DateRegistered) eq 2016,True,0
20190820 08:29,./data_raw//vOfficerOrganisations/nz_vOfficerOrganisations_y2017_m0_p0.csv,http://www.odata.charities.govt.nz/vOfficerOrganisations?$returnall=true&$format=csv&$filter=year(DateRegistered) eq 2017,True,0
20190820 08:29,./data_raw//GrpOrgAllReturns/nz_GrpOrgAllReturns_y2008_m1_p1.csv,http://www.odata.charities.govt.nz/GrpOrgAllReturns?$returnall=true&$format=csv&$filter=year(DateRegistered) eq 2008 and numberoffulltimeemployees mod 2 eq 0 and endofyearmonth eq 1,True,0
20190820 08:29,./data_raw//GrpOrgAllReturns/nz_GrpOrgAllReturns_y2008_m1_p2.csv,http://www.odata.charities.govt.nz/GrpOrgAllReturns?$returnall=true&$format=csv&$filter=year(DateRegistered) eq 2008 and numberoffulltimeemployees mod 2 eq 1 and endofyearmonth eq 1,True,0
20190820 08:29,./data_raw//GrpOrgAllReturns/nz_GrpOrgAllReturns_y2008_m2_p1.csv,http://www.odata.charities.govt.nz/GrpOrgAllReturns?$returnall=true&$format=csv&$filter=year(DateRegistered) eq 2008 and numberoffulltimeemployees mod 2 eq 0 and endofyearmonth eq 2,True,0
20190820 08:29,./data_raw//GrpOrgAllReturns/nz_GrpOrgAllReturns_y2008_m2_p2.csv,http://www.odata.charities.govt.nz/GrpOrgAllReturns?$returnall=true&$format=csv&$filter=year(DateRegistered) eq 2008 and numberoffulltimeemployees mod 2 eq 1 and endofyearmonth eq 2,True,0
20190820 08:39,./data_raw//GrpOrgAllReturns/nz_GrpOrgAllReturns_y2008_m3_p1.csv,http://www.odata.charities.govt.nz/GrpOrgAllReturns?$returnall=true&$format=csv&$filter=year(DateRegistered) eq 2008 and numberoffulltimeemployees mod 2 eq 0 and endofyearmonth eq 3,True,1
